Summary,Issue id,Issue Type,Project description,Story points,Epic Name,Labels,Priority,Reporter,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Epic Link
{{partner_long}},1,Epic,,,{{partner}},Phase1,Medium,{{reporter}},,,,
Create sftp login for {{partner_long}},2,Story,"h1. Background
For a walkthrough and standard notes, please see the confluence doc: [Adding a new SFTP account|https://adwerx.atlassian.net/wiki/spaces/EN/pages/4718611]",0.5,,SFTP Onboarding,Medium,{{reporter}},,,,{{partner}}
Create vanilla portal and ad config for {{partner_long}},3,Story,"h1. Partner specific details
- *Partner Name*: {{partner_long}}
- *Partner Code/Subdomain*: {{partner}}
- *Discount*: 15%
- *Primary Brand Color*: {{primary_color}}
- *Other Brand Colors*: {{other_color}}
- *link to assets:* {{{asset_link}}}

h1. Background
For a walkthrough and standard notes, please see the confluence doc: [Build Partner Vanilla Portal and Ad Config|https://adwerx.atlassian.net/wiki/spaces/EN/pages/284426573]",0.5,,Vanilla Onboarding,Medium,{{reporter}},8,5,,{{partner}}
SSO login information for {{partner_long}},4,Story,"h1. Background
For a walkthrough and standard notes, please see the confluence doc: [SSO Setup|https://adwerx.atlassian.net/wiki/spaces/EN/pages/293666823]",0.5,,SSO Onboarding,Medium,{{reporter}},,,,{{partner}}
Configure ELF settings for {{partner_long}},5,Story,"h1. Partner specific details
_This section will be filled out once the information is available_
*Which listings in the feed should be ELFed?*

*How long should the campaigns run?*
_1 week default_

*Price per campaign?*
_$35 default_

*Budget*
impressions: _7000 default_
anx_web: _$7.70 default_
fb: _$7.00 default_

*Targeting radius?*
_15 miles default_

*Default ELF Banner*
just_listed

h1. Background
For a walkthrough and standard notes, please see the confluence doc: [Setting up an ELF Configuration|https://adwerx.atlassian.net/wiki/spaces/EN/pages/284655931]
",1,,ELF Onboarding,Medium,{{reporter}},20,,,{{partner}}
Configure retargeting settings for {{partner_long}},6,Story,"h1. Partner specific details
Automate all {{partner_long}} agents for retargeting as long as they have enough information to build ads and accounts
h2. Data Required
_default required fields included, update if necessary_
* Headshot
* First Name
* Last Name
* Phone Number
* City
* State
* Email
* URL

h1. Background
For a walkthrough and standard notes, please see the confluence doc: [Eligibility vs. Validity Rules for Retargeting AP2|https://adwerx.atlassian.net/wiki/spaces/EN/pages/848035844]
",2,,Retargeting Onboarding,Medium,{{reporter}},20,,,{{partner}}
Customize portal based on feedback from {{partner_long}},7,Story,"h1. Difference from vanilla
*link to assets:* {{{asset_link}}}
_VQA notes should be entered here_

h1. Background
For a walkthrough and standard notes, please see the confluence doc: [Customize Partner Portal and Ad Config|https://adwerx.atlassian.net/wiki/spaces/EN/pages/284393753]",,,CustomizePortal Onboarding,Medium,{{reporter}},20,,,{{partner}}
Listing - Web - {{partner_long}},8,Story,"h1. User Stories
_fill out here when known_

h1. Acceptance Criteria
_fill out here when known_

h1. Ad Designs
_add final listing ad here_

h1. Web UI
_add web ui image here_

h1. Assets
*link to assets:* {{{asset_link}}}

h2. Images
_add any required images for ads here_

h2. Generated YML Files
_add any generated YML Files here_

h1. Defaults
h2. User Stories
As an agent, I expect the headline to be in the following format # BED / # BATH for $LISTING_PRICE
As an agent, I expect the headline to fall back to �Listed for Sale� if bed, bath, or price are missing
As an agent I expect the default corner ribbon to be �Just Listed� and be able to change the corner ribbon with the following options: �None�, �Just Listed�, �Just Sold�, �Open House� �Pending� �Price Reduced""
As an agent selecting �None� for the corner ribbon, I expect no banner to be displayed
As an agent selecting �None� for the corner ribbon, I expect the headline to be centered
As an agent selecting any corner ribbon other than �None�, I expect the headline to be left-justified
As an agent, I expect my name, company, phone, City/state, image, and listing photo to automatically populate on all ads
As an agent, I should expect my info (Name, company, phone) to justify to the left when my headshot isn�t present.

h2. Acceptance Criteria
The following fields are required: Name, Company Name, Phone, Location, Headline, Property Image
The following fields are optional: Agent Image
headline maps as # BED / # BATH for $LISTING_PRICE
headline falls back to �Listed for Sale� if bed, bath, or price are missing
if the ribbon image is hidden, the headline is centered
if the ribbon image is shown, the headline is left justified
agent name populates from {partner_agents.display_name}
company name is hardcoded to {{partner_name}}
phone number populates from {partner_agents.phone}
location populates from {partner_listings.city} and {partner_listings.state}
agent image populates from {partner_agents.image}
listing_photo populates from {partner_listings.partner_listing_photos.remote_image_url} where the sequence is 0
background color is {{primary_color}}
text color is {{black_or_white}}
logo is populated from {partners.partner_images.real_estate_ad_logo}
information fields are centered in the section if the agent image is missing",,,CustomizeAd Onboarding,Medium,{{reporter}},20,,,{{partner}}
Listing - FB/IG - {{partner_long}},9,Story,"h1. User Stories
_fill out here when known_

h1. Acceptance Criteria
_fill out here when known_

h1. Ad Designs
h2. FB/IG ad without frame
_add image here_

h2. Facebook ad with Frame
_add image here_

h2. Instagram ad with Frame
_ad image here_

h1. Assets
*link to assets:* {{{asset_link}}}

h2. Images
_add any required images for ads here_

h2. Generated YML Files
_add any generated YML Files here_

h1. Defaults
h2. User Stories
As an agent, I expect the headline to map to the top text field in the facebook frame
As an agent, I expect the headline to map to the main text field in the instagram frame
As an agent, I expect the first line of the banner to map from my agent name field
As an agent, I expect the second line of the banner to map from the company name field
As an agent, I expect the third line to combine the phone field and the location field
As an agent without an image, I expect the information fields to be center aligned
As an agent, I expect any banner I have chosen for the web ad to also display on the FB/IG ad
As an agent, I expect the company logo to be vertically and horizontally centered within its wrapper
As an agent, I expect the Link text in facebook to reflect the text from the ribbon, ie. Just Listed ribbon shows a Just Listed Link, Price Reduced shows Price Reduced, etc
As an agent, I expect the colors and images to match the values set in the web ad

h2. Acceptance Criteria
* map headline to facebook headline
* map headline to Instagram headline
* map ribbon name to Facebook link text
* map agent name to the first line of image
* map company name to the second line of image
* concatenate phone and city, state with a �(dot) and map to third line
* center align text when agent photo is missing
* display the selected ribbon in the top right corner of the image
* map background colors from the web ad to image bottom banner
* map text color from the web ad to the image text",,,CustomizeAd Onboarding,Medium,{{reporter}},20,,,{{partner}}
Brand - Web - {{partner_long}},10,Story,"h1. User Stories
_fill out here when known_

h1. Acceptance Criteria
_fill out here when known_

h1. Ad Designs
h2. Web Design
_add image here_

h2. Web UI
_add image here_

h1. Assets
*link to assets:* {{{asset_link}}}

h2. Images
_add any required images for ads here_

h2. Generated YML Files
_add any generated YML Files here_",,,CustomizeAd Onboarding,Medium,{{reporter}},20,,,{{partner}}
